true_class,predicted_class,image_count
glass,trash,30
metal,glass,16
glass,plastic,14
metal,paper,13
paper,plastic,13
paper,trash,11
plastic,paper,11
metal,trash,9
glass,paper,7
plastic,glass,7
plastic,trash,6
cardboard,plastic,5
cardboard,paper,5
cardboard,glass,5
paper,metal,3
cardboard,trash,3
trash,cardboard,2
plastic,cardboard,2
glass,cardboard,2
trash,paper,1
trash,plastic,1
metal,plastic,1
trash,metal,1
metal,cardboard,0
cardboard,metal,0
glass,metal,0
paper,cardboard,0
paper,glass,0
plastic,metal,0
trash,glass,0
