true_class,predicted_class,image_count
cardboard,paper,8
plastic,metal,5
glass,plastic,4
glass,metal,3
paper,metal,3
cardboard,trash,3
plastic,glass,3
plastic,trash,3
trash,paper,3
trash,metal,2
paper,cardboard,2
paper,trash,2
glass,trash,2
cardboard,plastic,1
plastic,paper,1
metal,trash,1
cardboard,metal,1
metal,glass,0
glass,paper,0
glass,cardboard,0
cardboard,glass,0
metal,cardboard,0
metal,plastic,0
metal,paper,0
paper,glass,0
paper,plastic,0
plastic,cardboard,0
trash,cardboard,0
trash,glass,0
trash,plastic,0
