true_class,predicted_class,error_count
paper,cardboard,9
cardboard,paper,8
glass,plastic,8
glass,metal,6
paper,trash,5
plastic,metal,5
plastic,trash,3
metal,plastic,3
paper,plastic,2
plastic,glass,2
metal,trash,2
paper,metal,2
trash,paper,2
trash,cardboard,2
cardboard,glass,1
glass,cardboard,1
plastic,cardboard,1
paper,glass,1
glass,paper,1
glass,trash,1
cardboard,plastic,0
cardboard,metal,0
metal,paper,0
metal,glass,0
metal,cardboard,0
cardboard,trash,0
plastic,paper,0
trash,glass,0
trash,metal,0
trash,plastic,0
