true_class,predicted_class,error_count
glass,plastic,10
cardboard,paper,8
plastic,trash,6
paper,trash,4
plastic,metal,4
glass,metal,2
paper,metal,2
metal,glass,2
trash,paper,2
plastic,glass,2
cardboard,plastic,2
glass,paper,1
metal,paper,1
cardboard,trash,1
trash,cardboard,1
paper,plastic,1
paper,cardboard,1
plastic,paper,1
trash,plastic,1
cardboard,metal,1
paper,glass,1
metal,trash,1
trash,metal,1
metal,plastic,0
glass,trash,0
glass,cardboard,0
cardboard,glass,0
metal,cardboard,0
plastic,cardboard,0
trash,glass,0
