image_path,true_class_index,predicted_class_index,true_class,predicted_class,confidence,correct,probability_cardboard,probability_glass,probability_metal,probability_paper,probability_plastic,probability_trash
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper550.jpg,3,5,paper,trash,0.9557137,False,0.0062043155,0.00041625288,0.0012702413,0.0347269,0.0016685444,0.9557137
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper228.jpg,3,5,paper,trash,0.91293013,False,4.362934e-05,0.0010497669,0.06211427,0.022473793,0.0013883803,0.91293013
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic40.jpg,4,1,plastic,glass,0.9067227,False,0.0012010697,0.9067227,0.0039268415,0.008104021,0.054936722,0.025108606
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic459.jpg,4,5,plastic,trash,0.8957316,False,0.000185516,0.0012505808,0.016097825,0.07843006,0.008304444,0.8957316
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\metal\metal122.jpg,2,5,metal,trash,0.8862305,False,6.718235e-05,0.0023007058,0.089110404,0.0013921502,0.02089902,0.8862305
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard331.jpg,0,3,cardboard,paper,0.88020515,False,0.059304293,0.0015012097,0.0119548505,0.88020515,0.0038200489,0.043214418
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard254.jpg,0,3,cardboard,paper,0.8594569,False,0.06692625,0.008909816,0.06063884,0.8594569,0.0021592136,0.0019089271
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass269.jpg,1,4,glass,plastic,0.8444259,False,0.00040014155,0.052614573,0.01908129,0.076688625,0.8444259,0.0067894435
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper370.jpg,3,1,paper,glass,0.8424268,False,0.0045124674,0.8424268,0.0041390825,0.02722681,0.059762284,0.06193247
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard190.jpg,0,3,cardboard,paper,0.8238309,False,0.037015617,0.00040928303,0.025980892,0.8238309,0.0061001955,0.10666305
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic450.jpg,4,5,plastic,trash,0.8078058,False,0.0016801439,0.009903849,0.027593408,0.056721196,0.09629567,0.8078058
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard274.jpg,0,3,cardboard,paper,0.7878089,False,0.14585544,0.0012193522,0.003492395,0.7878089,0.01119966,0.050424334
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic466.jpg,4,5,plastic,trash,0.7797564,False,0.0002910379,0.0010831761,0.15779842,0.06006202,0.0010089286,0.7797564
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard346.jpg,0,2,cardboard,metal,0.77638936,False,0.05479013,0.11808012,0.77638936,0.003925524,0.039580233,0.0072346944
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper3.jpg,3,2,paper,metal,0.74445075,False,0.003820507,0.083293185,0.74445075,0.023299977,0.115012236,0.030123426
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic467.jpg,4,5,plastic,trash,0.72731024,False,3.7682585e-05,0.0016651701,0.26399565,0.0011697168,0.00582152,0.72731024
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass443.jpg,1,2,glass,metal,0.72657275,False,7.0885544e-05,0.25808525,0.72657275,0.00014931566,0.007501701,0.007620112
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash102.jpg,5,4,trash,plastic,0.70789206,False,3.1000084e-06,0.11870846,0.0009813346,8.053853e-05,0.70789206,0.17233449
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic33.jpg,4,2,plastic,metal,0.7000806,False,0.0004190496,0.0054703,0.7000806,0.010865978,0.26782852,0.015335577
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass359.jpg,1,4,glass,plastic,0.6948565,False,0.0053570108,0.14519735,0.034743562,0.0142540755,0.6948565,0.10559151
