image_path,true_class_index,predicted_class_index,true_class,predicted_class,confidence,correct,probability_cardboard,probability_glass,probability_metal,probability_paper,probability_plastic,probability_trash
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass147.jpg,1,1,glass,glass,0.30730778,True,0.09457589,0.30730778,0.020345828,0.25737125,0.02606251,0.29433683
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic164.jpg,4,4,plastic,plastic,0.33697134,True,0.0012281932,0.3119824,0.26113507,0.016102126,0.33697134,0.07258081
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard353.jpg,0,0,cardboard,cardboard,0.33946913,True,0.33946913,0.030497056,0.0006106034,0.29903707,0.3290967,0.0012893908
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper463.jpg,3,3,paper,paper,0.35782713,True,0.21091777,0.010480398,0.0056555923,0.35782713,0.31582782,0.099291295
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass254.jpg,1,1,glass,glass,0.39858282,True,0.0013760355,0.39858282,0.025530577,0.33750522,0.2162931,0.020712214
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard112.jpg,0,0,cardboard,cardboard,0.40055197,True,0.40055197,0.0445858,0.23859666,0.29083043,0.02278652,0.0026484514
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic123.jpg,4,4,plastic,plastic,0.40501386,True,0.012790949,0.2653264,0.13536367,0.020395832,0.40501386,0.1611093
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass119.jpg,1,1,glass,glass,0.40539083,True,0.017282164,0.40539083,0.006640016,0.2534245,0.16553073,0.15173179
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper466.jpg,3,3,paper,paper,0.4161909,True,0.035297684,0.072712615,0.082673416,0.4161909,0.003893985,0.38923138
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper199.jpg,3,3,paper,paper,0.43552086,True,0.033963002,0.09662554,0.032972783,0.43552086,0.28875422,0.11216361
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\metal\metal169.jpg,2,2,metal,metal,0.46391585,True,0.00038216086,0.069443755,0.46391585,0.026324978,0.06403861,0.37589476
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass462.jpg,1,1,glass,glass,0.48534468,True,6.66365e-05,0.48534468,0.05978071,0.004311943,0.44187027,0.008625757
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic156.jpg,4,4,plastic,plastic,0.4879761,True,0.024119379,0.032244176,0.018707419,0.2802898,0.4879761,0.15666312
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic107.jpg,4,4,plastic,plastic,0.49915916,True,0.0001653889,0.04062015,0.458438,0.000348905,0.49915916,0.0012684187
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash59.jpg,5,5,trash,trash,0.5286678,True,0.02775845,0.011079598,0.0022598777,0.40704393,0.02319032,0.5286678
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash134.jpg,5,5,trash,trash,0.52933365,True,0.0053787017,0.06729127,0.015260719,0.37493056,0.007805103,0.52933365
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash18.jpg,5,5,trash,trash,0.5396054,True,0.00307839,0.0019359915,0.0024794035,0.02277611,0.43012476,0.5396054
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\metal\metal393.jpg,2,2,metal,metal,0.5457766,True,0.0020809197,0.31560457,0.5457766,0.016317965,0.05728372,0.06293618
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass175.jpg,1,1,glass,glass,0.5503511,True,3.478344e-05,0.5503511,0.39425415,0.0011836608,0.048502654,0.0056736637
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic167.jpg,4,4,plastic,plastic,0.5674371,True,0.0001417391,0.34975904,0.0007758301,0.0025931527,0.5674371,0.079293184
