true_class,predicted_class,error_count
glass,plastic,11
paper,cardboard,6
cardboard,paper,5
trash,paper,4
plastic,paper,3
metal,glass,2
paper,plastic,2
plastic,glass,2
plastic,trash,2
plastic,metal,1
metal,plastic,1
glass,paper,1
glass,metal,1
glass,trash,1
trash,plastic,1
trash,metal,1
paper,metal,1
cardboard,trash,0
cardboard,metal,0
cardboard,plastic,0
glass,cardboard,0
cardboard,glass,0
metal,paper,0
metal,cardboard,0
metal,trash,0
paper,glass,0
plastic,cardboard,0
paper,trash,0
trash,cardboard,0
trash,glass,0
