image_path,true_class_index,predicted_class_index,true_class,predicted_class,confidence,correct,probability_cardboard,probability_glass,probability_metal,probability_paper,probability_plastic,probability_trash
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper212.jpg,3,0,paper,cardboard,0.9999354,False,0.9999354,5.5653073e-09,5.071667e-10,6.391131e-05,7.139082e-07,3.144889e-08
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard254.jpg,0,3,cardboard,paper,0.9989894,False,0.00095092464,3.6960719e-06,8.836112e-06,0.9989894,4.6941776e-05,2.3820125e-07
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper433.jpg,3,0,paper,cardboard,0.9971505,False,0.9971505,1.1293536e-10,7.829634e-09,0.0028495179,3.5443308e-09,1.4505336e-10
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper462.jpg,3,0,paper,cardboard,0.9941275,False,0.9941275,1.8817128e-09,2.6703615e-06,0.005867702,1.9953254e-06,3.4991142e-08
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass304.jpg,1,3,glass,paper,0.99374515,False,3.9206734e-05,0.004703938,0.00051524857,0.99374515,0.00026568648,0.0007308409
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard331.jpg,0,3,cardboard,paper,0.9934068,False,0.0065578287,1.278987e-06,6.807259e-07,0.9934068,3.1927113e-05,1.3940668e-06
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass169.jpg,1,4,glass,plastic,0.9913214,False,4.657614e-12,0.0086786775,7.077751e-09,5.5002954e-11,0.9913214,2.3735026e-11
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic40.jpg,4,1,plastic,glass,0.9853873,False,1.0160295e-05,0.9853873,0.0058362917,1.0913141e-06,0.008765052,2.6649064e-07
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass254.jpg,1,4,glass,plastic,0.98258984,False,0.00018931642,0.005172004,0.006216377,0.005818599,0.98258984,1.3939369e-05
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash89.jpg,5,3,trash,paper,0.9649146,False,0.00060864753,0.00026522233,7.567607e-05,0.9649146,0.00089639705,0.03323938
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash23.jpg,5,3,trash,paper,0.9642731,False,1.6486982e-05,1.5878817e-05,0.00044993454,0.9642731,0.00013849202,0.035106003
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard190.jpg,0,3,cardboard,paper,0.94433486,False,0.051127918,2.067557e-05,3.9498325e-05,0.94433486,0.0044548893,2.2186367e-05
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass102.jpg,1,4,glass,plastic,0.92320925,False,3.3579242e-06,0.0761102,8.656035e-06,0.000664858,0.92320925,3.5998205e-06
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard294.jpg,0,3,cardboard,paper,0.88875085,False,0.11100162,3.7480445e-06,5.530652e-06,0.88875085,0.00023690755,1.3952267e-06
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass440.jpg,1,4,glass,plastic,0.8832718,False,1.6947934e-05,0.11453613,0.0018332525,7.2971798e-06,0.8832718,0.000334609
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard119.jpg,0,3,cardboard,paper,0.88123107,False,0.113527976,0.0011719842,1.8237575e-05,0.88123107,0.00020601918,0.0038446253
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper3.jpg,3,4,paper,plastic,0.8765634,False,0.00045096187,0.03468859,0.085983306,0.0019699836,0.8765634,0.00034375145
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash93.jpg,5,2,trash,metal,0.8703411,False,0.006287743,0.0010267718,0.8703411,0.09280402,0.006957163,0.022583237
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic466.jpg,4,3,plastic,paper,0.8674748,False,6.4583173e-06,0.00711079,0.005990295,0.8674748,0.006211934,0.11320574
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper162.jpg,3,2,paper,metal,0.8080282,False,0.00083739293,0.025150446,0.8080282,0.15947685,0.0018543928,0.0046526534
