architecture,true_class,predicted_class,error_count
mobilenet_v3_large,glass,plastic,7
mobilenet_v3_large,paper,cardboard,6
mobilenet_v3_large,cardboard,paper,5
mobilenet_v3_large,metal,plastic,3
mobilenet_v3_large,trash,paper,3
mobilenet_v3_large,glass,paper,2
mobilenet_v3_large,paper,plastic,2
mobilenet_v3_large,paper,trash,2
mobilenet_v3_large,plastic,trash,2
mobilenet_v3_large,plastic,paper,2
mobilenet_v3_large,paper,metal,1
mobilenet_v3_large,plastic,glass,1
mobilenet_v3_large,metal,glass,1
mobilenet_v3_large,cardboard,plastic,1
mobilenet_v3_large,trash,plastic,1
mobilenet_v3_large,trash,metal,1
mobilenet_v3_large,plastic,metal,1
mobilenet_v3_large,glass,trash,0
mobilenet_v3_large,cardboard,metal,0
mobilenet_v3_large,cardboard,glass,0
mobilenet_v3_large,cardboard,trash,0
mobilenet_v3_large,glass,cardboard,0
mobilenet_v3_large,metal,paper,0
mobilenet_v3_large,metal,cardboard,0
mobilenet_v3_large,glass,metal,0
mobilenet_v3_large,metal,trash,0
mobilenet_v3_large,plastic,cardboard,0
mobilenet_v3_large,paper,glass,0
mobilenet_v3_large,trash,cardboard,0
mobilenet_v3_large,trash,glass,0
resnet50,paper,cardboard,7
resnet50,cardboard,paper,5
resnet50,plastic,metal,5
resnet50,glass,plastic,5
resnet50,glass,metal,4
resnet50,plastic,trash,2
resnet50,paper,metal,2
resnet50,trash,paper,2
resnet50,plastic,glass,1
resnet50,paper,trash,1
resnet50,paper,plastic,1
resnet50,trash,plastic,1
resnet50,trash,cardboard,1
resnet50,cardboard,plastic,0
resnet50,metal,plastic,0
resnet50,metal,paper,0
resnet50,metal,glass,0
resnet50,metal,cardboard,0
resnet50,glass,trash,0
resnet50,glass,paper,0
resnet50,cardboard,trash,0
resnet50,glass,cardboard,0
resnet50,cardboard,glass,0
resnet50,cardboard,metal,0
resnet50,metal,trash,0
resnet50,paper,glass,0
resnet50,plastic,cardboard,0
resnet50,plastic,paper,0
resnet50,trash,metal,0
resnet50,trash,glass,0
