architecture,image_path,true_class_index,predicted_class_index,true_class,predicted_class,confidence,correct,probability_cardboard,probability_glass,probability_metal,probability_paper,probability_plastic,probability_trash
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard254.jpg,0,3,cardboard,paper,0.99783224,False,0.0017784253,1.3671915e-06,1.6862915e-06,0.99783224,0.00036863447,1.7614177e-05
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass359.jpg,1,4,glass,plastic,0.9975803,False,2.1420668e-07,0.0024185502,1.5160996e-08,1.099937e-07,0.9975803,8.690972e-07
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass254.jpg,1,4,glass,plastic,0.9846305,False,0.00019327168,0.01342489,0.00010584316,0.001640568,0.9846305,4.9356145e-06
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass462.jpg,1,4,glass,plastic,0.9834421,False,0.0013300178,0.013243476,0.00082735735,0.0008687644,0.9834421,0.00028833357
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash89.jpg,5,3,trash,paper,0.96879846,False,5.6815006e-06,9.21164e-06,1.9354985e-07,0.96879846,4.690158e-05,0.031139465
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass102.jpg,1,4,glass,plastic,0.96675247,False,1.1372353e-05,0.03315391,4.2817483e-06,6.9217036e-05,0.96675247,8.790213e-06
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper212.jpg,3,0,paper,cardboard,0.95137703,False,0.95137703,6.3236286e-08,1.6562987e-07,0.047251675,0.0011517949,0.00021918313
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\metal\metal370.jpg,2,4,metal,plastic,0.9377846,False,0.0014253221,0.016537758,0.041814,0.0023002625,0.9377846,0.00013808868
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass304.jpg,1,3,glass,paper,0.89758515,False,0.00047629737,0.06887017,0.0019614927,0.89758515,0.0017091808,0.029397693
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard378.jpg,0,4,cardboard,plastic,0.88232934,False,0.08034826,0.0017882204,0.00034795524,0.013747901,0.88232934,0.021438297
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper3.jpg,3,4,paper,plastic,0.86248,False,0.0002719008,0.041947797,0.08558034,0.00612355,0.86248,0.0035963869
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper533.jpg,3,0,paper,cardboard,0.8620363,False,0.8620363,0.007925486,0.0018887942,0.10886697,0.0134462025,0.0058363373
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard331.jpg,0,3,cardboard,paper,0.8597433,False,0.12667677,8.816246e-06,5.042831e-05,0.8597433,0.012846484,0.00067416887
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic2.jpg,4,3,plastic,paper,0.85724986,False,0.007514649,0.016624039,0.0018498072,0.85724986,0.1023857,0.014376016
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper122.jpg,3,4,paper,plastic,0.850749,False,0.023130966,2.0653491e-05,0.0004497859,0.09134826,0.850749,0.034301303
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper400.jpg,3,0,paper,cardboard,0.8447325,False,0.8447325,9.7327094e-05,0.00053513236,0.14814527,0.0048968717,0.0015928461
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard190.jpg,0,3,cardboard,paper,0.8371445,False,0.11053683,2.1089376e-05,0.00058715366,0.8371445,0.0449564,0.006753922
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard119.jpg,0,3,cardboard,paper,0.83134735,False,0.16819209,5.146292e-05,3.4294644e-05,0.83134735,0.00017182027,0.00020299683
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic459.jpg,4,5,plastic,trash,0.81446743,False,0.0023599095,1.6081218e-05,0.04111097,0.1308827,0.011162908,0.81446743
mobilenet_v3_large,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic467.jpg,4,2,plastic,metal,0.76756436,False,0.00011094154,0.0003963253,0.76756436,0.00028732253,0.0021527344,0.22948831
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper462.jpg,3,0,paper,cardboard,0.99807274,False,0.99807274,4.575307e-06,6.2351705e-06,0.0018022452,8.19359e-05,3.2270993e-05
resnet50,C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass443.jpg,1,2,glass,metal,0.97915065,False,0.00014104205,0.016345592,0.97915065,3.287967e-05,0.0035792757,0.0007505561
