architecture,class_name,test_samples,correct_predictions,per_class_accuracy,precision,recall,f1_score
mobilenet_v3_large,cardboard,61,55,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951
mobilenet_v3_large,glass,75,66,0.88,0.9705882352941176,0.88,0.9230769230769231
mobilenet_v3_large,metal,62,58,0.9354838709677419,0.9508196721311475,0.9354838709677419,0.943089430894309
mobilenet_v3_large,paper,90,79,0.8777777777777778,0.8681318681318682,0.8777777777777778,0.8729281767955801
mobilenet_v3_large,plastic,72,66,0.9166666666666666,0.825,0.9166666666666666,0.868421052631579
mobilenet_v3_large,trash,21,16,0.7619047619047619,0.8,0.7619047619047619,0.7804878048780488
resnet50,cardboard,61,56,0.9180327868852459,0.875,0.9180327868852459,0.896
resnet50,glass,75,66,0.88,0.9850746268656716,0.88,0.9295774647887324
resnet50,metal,62,62,1.0,0.8493150684931506,1.0,0.9185185185185185
resnet50,paper,90,79,0.8777777777777778,0.9186046511627907,0.8777777777777778,0.8977272727272727
resnet50,plastic,72,64,0.8888888888888888,0.9014084507042254,0.8888888888888888,0.8951048951048951
resnet50,trash,21,17,0.8095238095238095,0.85,0.8095238095238095,0.8292682926829268
